Address,Year Built,Community,Management Company,Fee includes,Amenities,Condo Fee,Beds,Baths,Price,Link
"570 Laurier Ave W 1004,Ottawa, ON K1R 1C8",2004,Centretown,Apollo Management,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Storage, Water/Sewer","Balcony, Elevator, Exercise Centre, Indoor Pool, Party Room,, Storage Lockers",$529.94,1,1,"$452,000",https://www.redfin.com/on/ottawa/570-Laurier-Ave-W-K1R-1C8/unit-1004/home/149525859
"570 Laurier Ave W 602,Ottawa, ON K1R 1C8",2004,Cemtretown,Apollo Management,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Heat, Management Fee, Recreation Facilities, Reserve Fund Allocation,, Water/Sewer","Balcony, Elevator, Exercise Centre, Guest Suite, Indoor Pool,, Intercom, Storage Lockers",$673.23,2,2,"$548,900",https://www.redfin.com/on/ottawa/570-Laurier-Ave-W-K1R-1C8/unit-602/home/149526219
"500 Laurier Ave W 2104,Ottawa, ON K1R 5E1",1977,Centre Town,APOLLO PROPERTY MANAGMENT,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Water/Sewer","Elevator, Exercise Centre, Guest Suite, Indoor Pool, Sauna,, Security",$974.70,2,2.5,"$372,000",https://www.redfin.com/on/ottawa/500-Laurier-Ave-W-K1R-5E1/unit-2104/home/149529283
"85 Bronson Ave 1501,Ottawa, ON K1R 6G7",2005,Centre Town,Apollo,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer","Balcony, Elevator, Exercise Centre, Party Room, Storage Lockers","$1,135.78",3,2,"$1,075,000",https://www.redfin.com/on/ottawa/85-Bronson-Ave-K1R-6G7/unit-1501/home/149540396
"383 Cumberland St 408,Ottawa, ON K1N 1J7",2004,Lower Town,Condo Management Group,"Air Conditioning, Building Insurance, Caretaker, Garbage, Removal, General Maintenance and Repair, Heat, Management Fee, Water/Sewer","Exercise Centre, Multi Use Room, Party Room",$651,2,1,"$395,000",https://www.redfin.com/on/ottawa/383-Cumberland-St-K1N-1J7/unit-408/home/149545697
"383 Cumberland St 306,Ottawa, ON K1N 1J7",2004,Byward Market,Condominium Management Group,"Building Insurance, Caretaker, Heat, Management Fee, Recreation, Facilities, Reserve Fund Allocation, Water/Sewer","Balcony, Elevator, Exercise Centre, Multi Use Room, Party Room,, Patio, Storage Lockers",$450,1,1,"$400,000",https://www.redfin.com/on/ottawa/383-Cumberland-St-K1N-1J7/unit-306/home/149546118
"151 Bay St 202,Ottawa, ON K1R 7T2",1978,Ottawa Centre,DES Services,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Heat, Hydro, Management Fee, Reserve Fund Allocation, Water/Sewer","Balcony, Elevator, Indoor Pool, Sauna, Security, Storage Lockers,, Workshop","$1,074",3,2,"$488,000",https://www.redfin.com/on/ottawa/151-Bay-St-K1R-7T2/unit-202/home/149546620
"180 York St 709,Ottawa, ON K1N 1J6",2003,Byward Market,CMG,"Air Conditioning, Amenities, Building Insurance, Common Area, Hydro, General Maintenance and Repair, Heat, Management Fee, Reserve Fund, Allocation, Water/Sewer","Elevator, Exercise Centre, Party Room, Patio, Storage Lockers",$599.50,1,1,"$345,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-709/home/149547154
"180 York St 404,Ottawa, ON K1N 1J6",2003,Byward Market,CONDO MANAGMENT GROUP,"Air Conditioning, Amenities, Building Insurance, Heat,, Water/Sewer","AC, Balcony, Party Room",$438.93,1,1,"$303,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-404/home/149547235
"180 York St 702,Ottawa, ON K1N 1J6",2003,Lower Town,CMG,"Air Conditioning, Amenities, Building Insurance, Common Area, Hydro, General Maintenance and Repair, Heat, Reserve Fund Allocation,, Water/Sewer","Elevator, Exercise Centre, Party Room, Patio",$458,1,1,"$310,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-702/home/149547316
"180 York St 705,Ottawa, ON K1N 1J6",2003,Byward Market,CMG Condominium Management Grp,"Air Conditioning, Building Insurance, Caretaker, Heat,, Management Fee, Recreation Facilities, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Intercom, Patio, Storage, Lockers",$504.92,1,1,"$339,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-705/home/149547372
"200 Bay St 1702,Ottawa, ON K1R 7W8",1985,Centretown,R.L. De Celles & Associates,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Water/Sewer",Elevator,$566.28,1,1,"$388,100",https://www.redfin.com/on/ottawa/200-Bay-St-K1R-5Y9/unit-1702/home/149547543
"180 York St 902,Ottawa, ON K1N 1J6",2003,Byward Market,CMG- Condo Management Group,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Garbage Removal, General Maintenance and Repair, Heat,, Management Fee, Recreation Facilities, Reserve Fund Allocation, Water/Sewer","AC, Elevator, Exercise Centre, Party Room, Patio, Recreation, Centre, Storage Lockers",$499.28,1,1,"$310,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-902/home/149547650
"180 York St 402,Ottawa, ON K1N 1J6",2003,Lowertown - Byward Market,CMG,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Management Fee, Recreation Facilities, Reserve Fund, Allocation, Water/Sewer","Elevator, Exercise Centre, Multi Use Room, Party Room, Patio,, Storage Lockers",$540.17,1,1,"$327,500",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-402/home/149547731
"200 Bay St 1001,Ottawa, ON K1R 7W8",1985,Centretown,R. L. De Celles,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Water/Sewer",,$622.11,2,1,"$366,000",https://www.redfin.com/on/ottawa/200-Bay-St-K1R-5Y9/unit-1001/home/149547746
"180 York St 803,Ottawa, ON K1N 1J6",2003,Lower Town,CMG,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer","Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer",$498.65,1,1,"$323,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-803/home/149547936
"180 York St 1001,Ottawa, ON K1N 1J6",2003,Byward Market,Condo Management Group,"Air Conditioning, Building Insurance, Caretaker, General, Maintenance and Repair, Heat, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Party Room, Storage Lockers",$732,2,1,"$461,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-1001/home/149547990
"159 Murray St 205,Ottawa, ON K1N 5M7",1997,Byward Market,Gest-Co,"Building Insurance, Caretaker, Common Area Hydro, General, Maintenance and Repair, Heat, Management Fee, Snow Removal, Storage,, Water/Sewer","Balcony, Security, Storage Lockers",$476.74,1,1,"$335,000",https://www.redfin.com/on/ottawa/159-Murray-St-K1N-5M7/unit-205/home/149555775
"309 Cumberland St 304,Ottawa, ON K1N 7J1",1985,Byward Market,Condominium Management Group,"Building Insurance, General Maintenance and Repair, Management, Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer","Balcony, Elevator, Storage Lockers",$551.09,2,2,"$345,500",https://www.redfin.com/on/ottawa/309-Cumberland-St-K1N-7J1/unit-304/home/149556577
"309 Cumberland St 403,Ottawa, ON K1N 7J1",1986,Byward Market,CMG,"Air Conditioning, Building Insurance, Caretaker, Management Fee,, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$667.98,2,2,"$360,000",https://www.redfin.com/on/ottawa/309-Cumberland-St-K1N-7J1/unit-403/home/149556599
"309 Cumberland St 801,Ottawa, ON K1N 7J1",1985,Lower Town,CMG,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal, Water/Sewer","Balcony, Elevator, Fire Place, Intercom, Laundry, Storage Lockers",$731,2,2,"$430,000",https://www.redfin.com/on/ottawa/309-Cumberland-St-K1N-7J1/unit-801/home/149556619
"513 King Edward Ave 2,Ottawa, ON K1N 7N3",1990,Sandy Hill,CMG,"Building Insurance, Caretaker, Management Fee, Water/Sewer","AC, Balcony, Deck, Fire Place, Laundry, Rooftop Terrace",$873.58,3,2,"$565,000",https://www.redfin.com/on/ottawa/513-King-Edward-Ave-K1N-7N3/unit-2/home/149562579
"35 Murray St 509,Ottawa, ON K1N 9M5",1987,Byward Market,EOPMG,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Water/Sewer",,$545.90,1,1,"$457,000",https://www.redfin.com/on/ottawa/35-Murray-St-K1N-9M5/unit-509/home/149563037
"15 Murray St 304,Ottawa, ON K1N 9M5",1987,Lowertown,Eastern Ontario Property MGMT,"Air Conditioning, Building Insurance, Caretaker, Management Fee,, Water/Sewer",,$903.09,2,2,"$500,000",https://www.redfin.com/on/ottawa/15-Murray-St-K1N-9M5/unit-304/home/149563158
"232 Wilbrod St 1,Ottawa, ON K1N 6L6",1990,Sandy Hill,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$248.49,,1,"$330,000",https://www.redfin.com/on/ottawa/232-Rue-Wilbrod-St-K1N-6L6/unit-1/home/149565596
"134 York St 207,Ottawa, ON K1N 1K8",2005,Ottawa,apollo,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer",Exercise Centre,$389,1,1,"$325,100",https://www.redfin.com/on/ottawa/134-York-St-K1N-1K8/unit-207/home/149570723
"134 York St 504,Ottawa, ON K1N 1K8",2005,Byward Market,Apollo,"Building Insurance, Caretaker, Heat, Management Fee, Recreation, Facilities, Water/Sewer","Exercise Centre, Party Room",$536.55,2,1,"$432,000",https://www.redfin.com/on/ottawa/134-York-St-K1N-1K8/unit-504/home/149570783
"134 York St 1105,Ottawa, ON K1N 1K8",2005,Ottawa,APOLLO MGMT,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer",Exercise Centre,$327.88,1,1,"$340,000",https://www.redfin.com/on/ottawa/134-York-St-K1N-1K8/unit-1105/home/149571034
"134 York St 307,Ottawa, ON K1N 1K8",2005,Lower Town,Apollo Property Management,"Amenities, Building Insurance, Caretaker, Heat, Management Fee","AC, Balcony, Exercise Centre, Party Room, Patio, Storage Lockers",$393.11,1,1,"$383,000",https://www.redfin.com/on/ottawa/134-York-St-K1N-1K8/unit-307/home/149571120
"40 Boteler St 1001,Ottawa, ON K1N 9C8",1979,Lower Town,Arnon Dev Corp,"Air Conditioning, Building Insurance, Heat, Water/Sewer","Concierge Service, Elevator, Exercise Centre, Party Room, Sauna,, Security, Storage Lockers","$1,951",2,2,"$1,553,000",https://www.redfin.com/on/ottawa/40-Boteler-St-K1N-9C8/unit-1001/home/149573759
"160 George St 2403,Ottawa, ON K1N 9M2",1987,Lower Town,Reid Property Managment,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Management Fee, Recreation Facilities, Water/Sewer","Balcony, Elevator, Exercise Centre, Guest Suite, Indoor Pool,, Security, Storage Lockers","$1,265",1,2,"$940,000",https://www.redfin.com/on/ottawa/160-George-St-K1N-9P3/unit-2403/home/149580505
"160 George St 2404,Ottawa, ON K1N 9M2",1987,Lower Town,Reid Property Management,"Air Conditioning, Amenities, Building Insurance, Common Area, Hydro, General Maintenance and Repair, Management Fee, Recreation Facilities,, Reserve Fund Allocation, Water/Sewer","AC, Concierge Service, Elevator, Exercise Centre, Guest Suite,, Indoor Pool, Security","$1,124.08",2,2,"$964,000",https://www.redfin.com/on/ottawa/160-George-St-K1N-9P3/unit-2404/home/149580586
"160 George St 1504,Ottawa, ON K1N 9M2",1987,Lower Town/byward Market,Reid Management Company,"Air Conditioning, Amenities, Building Insurance, Landscape,, Management Fee, Reserve Fund Allocation, Snow Removal, Storage, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Indoor Pool, Security",$729,2,2,"$698,000",https://www.redfin.com/on/ottawa/160-George-St-K1N-9P3/unit-1504/home/149580618
"160 George St 1104,Ottawa, ON K1N 9M2",1987,Byward Market,Ried Management,"Air Conditioning, Amenities, Caretaker, Management Fee, Reserve, Fund Allocation, Snow Removal, Water/Sewer","AC, Exercise Centre, Guest Suite, Indoor Pool, Rooftop Terrace,, Security",$747.30,2,2,"$571,000",https://www.redfin.com/on/ottawa/160-George-St-K1N-9P3/unit-1104/home/149580996
"180 York St 209,Ottawa, ON K1N 1J6",2003,Byward Market,CMG,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, General Maintenance and Repair, Heat, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Snow Removal, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Outdoor Kitchen, Party, Room, Patio",$469.81,1,1,"$315,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-209/home/149582356
"179 George St 304,Ottawa, ON K1N 1J8",2006,Lower Town,Capital Integral,"Air Conditioning, Amenities, Building Insurance, Garbage, Removal, General Maintenance and Repair, Heat, Hydro, Water/Sewer","Elevator, Exercise Centre, Party Room, Storage Lockers",$516.85,1,1,"$275,000",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-304/home/149586539
"179 George St 1010,Ottawa, ON K1N 1J8",2006,Lower Town,Capital Integral Property Mgmt,"Building Insurance, Caretaker, Heat, Hydro, Management Fee,, Recreation Facilities, Water/Sewer","Balcony, Elevator, Exercise Centre, Party Room",$549.65,1,1,"$330,000",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-1010/home/149586557
"179 George St 502,Ottawa, ON K1N 1J8",2006,Lowertown,Capital Integral,"Air Conditioning, Building Insurance, Heat, Hydro, Management, Fee, Water/Sewer","Balcony, Elevator, Exercise Centre, Multi Use Room, Party Room,, Patio",$424.84,1,1,"$364,000",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-502/home/149587043
"179 George St 504,Ottawa, ON K1N 1J8",2006,Lower Town,Capital Integral Property Mgmt,"Air Conditioning, Amenities, Building Insurance, Heat, Hydro,, Landscape, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer","Air Conditioning, Amenities, Building Insurance, Heat, Hydro,, Landscape, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer",$516.85,1,1,"$314,900",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-504/home/149587266
"179 George St 2104,Ottawa, ON K1N 1J8",2006,Lower Town,Capital Integral Property Mgmt,"Air Conditioning, Amenities, Building Insurance, Heat, Hydro,, Landscape, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer","Balcony, Elevator, Exercise Centre, Party Room",$580.85,1,1,"$400,888",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-2104/home/149587483
"160 Bruyere St 1,Ottawa, ON K1N 5E1",1983,Lower Town,Complete Condo Management,"Building Insurance, General Maintenance and Repair, Management, Fee, Reserve Fund Allocation, Water/Sewer","Patio, Storage Lockers",$450,1,1,"$420,000",https://www.redfin.com/on/ottawa/160-Bruyere-St-K1N-5E1/unit-1/home/149619707
"200 Rideau St 1904,Ottawa, ON K1N 5Y1",2008,Sandy Hill,REID PROPERTY MANAGEMENT,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Storage, Water/Sewer","Elevator, Exercise Centre, Indoor Pool, Party Room, Storage Lockers",$915,3,2,"$670,000",https://www.redfin.com/on/ottawa/200-Rideau-St-K1N-5Y1/unit-1904/home/149676199
"234 Rideau St 1202,Ottawa, ON K1N 0A9",2011,Sandy Hill,Reid Management,"Building Insurance, Heat, Management Fee, Water/Sewer","Exercise Centre, Indoor Pool, Party Room, Sauna",$429,1,1,"$405,000",https://www.redfin.com/on/ottawa/234-Rideau-St-K1N-0A9/unit-1202/home/149718113
"90 George St 1306,Ottawa, ON K1N 0A8",2008,Byward Market,CMG,"Building Insurance, General Maintenance and Repair, Heat,, Insurance, Management Fee, Recreation Facilities, Reserve Fund Allocation,, Water/Sewer","Balcony, Concierge Service, Exercise Centre, Guest Suite, Indoor, Pool, Patio, Recreation Centre",$802.31,1,1,"$475,000",https://www.redfin.com/on/ottawa/90-George-St-K1N-0A8/unit-1306/home/149738029
"221 Clarence St,Ottawa, ON K1N 5P9",2003,Lower Town,CONDOMINIUM MGMT GROUP,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$438.43,1 + 2,1.5,"$427,000",https://www.redfin.com/on/ottawa/221-Clarence-St-K1N-5R1/home/149739245
"200 Rideau St 1405,Ottawa, ON K1N 5Y1",2009,Byward Market,Reid Property Mgnt,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Garbage Removal, Heat, Landscape, Management Fee, Reserve, Fund Allocation, Water/Sewer","Balcony, Concierge Service, Elevator, Exercise Centre, Indoor Pool,, Party Room, Sauna",$596,2,2,"$495,000",https://www.redfin.com/on/ottawa/200-Rideau-St-K1N-5Y1/unit-1405/home/149791010
"200 Rideau St 904,Ottawa, ON K1N 5Y1",2008,Sandy Hill,Reid Property Management,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Management Fee, Recreation Facilities, Reserve Fund Allocation,, Storage, Water/Sewer","Balcony, Elevator, Exercise Centre, Indoor Pool, Rooftop Terrace,, Security, Storage Lockers",$820,2,2,"$600,000",https://www.redfin.com/on/ottawa/200-Rideau-St-K1N-5Y1/unit-904/home/149791165
"200 Rideau St 602,Ottawa, ON K1N 5Y1",2008,Sandy Hill,Reid Property Management,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer","Concierge Service, Elevator, Exercise Centre, Indoor Pool, Party, Room, Recreation Centre, Storage Lockers",$421,1,1,"$380,000",https://www.redfin.com/on/ottawa/200-Rideau-St-K1N-5Y1/unit-602/home/149791483
"200 Besserer St 701,Ottawa, ON K1N 0A7",2009,Sandy Hill,Apollo,"Amenities, Building Insurance, Caretaker, Common Area Hydro,, Garbage Removal, Insurance, Management Fee, Reserve Fund Allocation,, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Indoor Pool, Storage, Lockers",$375.50,1,1,"$448,000",https://www.redfin.com/on/ottawa/200-Besserer-St-K1N-0A7/unit-701/home/149800452
"200 Besserer St 1101,Ottawa, ON K1N 0A7",2009,Sandy Hill,APOLLO Property Management,"Air Conditioning, Amenities, Building Insurance, Heat,, Management Fee, Water/Sewer","Concierge Service, Exercise Centre, Indoor Pool, Sauna",$341.84,1,1,"$438,000",https://www.redfin.com/on/ottawa/200-Besserer-St-K1N-0A7/unit-1101/home/149800801
"200 Besserer St 702,Ottawa, ON K1N 0A7",2009,Sandy Hill,Apollo Property Management,"Building Insurance, Caretaker, Heat, Management Fee, Recreation, Facilities, Water/Sewer","Elevator, Exercise Centre, Indoor Pool, Recreation Centre, Storage, Lockers",$639.84,2,2,"$565,000",https://www.redfin.com/on/ottawa/200-Besserer-St-K1N-0A7/unit-702/home/149801357
"215 St Patrick St 19,Ottawa, ON K1N 5K2",1990,Lower Town,Sentinel Management,"Building Insurance, Common Area Hydro, Garbage Removal,, Landscape, Management Fee, Reserve Fund Allocation, Snow Removal, Storage,, Water/Sewer",,$540.06,1,1,"$452,400",https://www.redfin.com/on/ottawa/215-St-Patrick-St-K1N-5K2/unit-19/home/149818031
"35 Murray St 215,Ottawa, ON K1N 9M5",1988,Byward Market,EOPMG,"Building Insurance, Caretaker, Garbage Removal, General, Maintenance and Repair, Management Fee, Reserve Fund Allocation, Water/Sewer",,$505.15,1,1,"$366,000",https://www.redfin.com/on/ottawa/35-Murray-St-K1N-9M5/unit-215/home/149818522
"15 Murray St 308,Ottawa, ON K1N 9M5",1987,Byward Market,Eastern Ontario Property Mgmt,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$557.29,1,1,"$387,000",https://www.redfin.com/on/ottawa/15-Murray-St-K1N-9M5/unit-308/home/149818765
"383 Cumberland St 603,Ottawa, ON K1N 1J7",2004,Byward Market/lower Town,Condo Management Group,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Heat, Management Fee, Recreation Facilities, Water/Sewer","Elevator, Exercise Centre, Other (See Remarks), Party Room, Storage, Lockers",$735.18,2,1,"$470,000",https://www.redfin.com/on/ottawa/383-Cumberland-St-K1N-1J7/unit-603/home/149819682
"180 York St 1401,Ottawa, ON K1N 1J6",2003,Byward Market,Condo Management Group,"Building Insurance, Caretaker, Heat, Management Fee, Recreation, Facilities, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Storage Lockers","$1,102.66",2,2,"$940,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-1401/home/149820592
"309 Cumberland St 605,Ottawa, ON K1N 7J1",1985,Lower Town/byward Market,CMG,"Air Conditioning, Building Insurance, Caretaker, Management Fee,, Reserve Fund Allocation, Snow Removal, Water/Sewer","Elevator, Storage Lockers",$709.16,2,2,"$361,700",https://www.redfin.com/on/ottawa/309-Cumberland-St-K1N-7J1/unit-605/home/149829328
"238 Besserer St 911,Ottawa, ON K1N 6B1",2013,Sandy Hill,CMG,"Air Conditioning, Amenities, Building Insurance, Caretaker,, General Maintenance and Repair, Heat, Management Fee, Storage, Water/Sewer","Air Conditioning, Amenities, Building Insurance, Caretaker,, General Maintenance and Repair, Heat, Management Fee, Storage, Water/Sewer",$469,1,1,"$426,000",https://www.redfin.com/on/ottawa/238-Besserer-St-K1N-6B1/unit-911/home/149835586
"100 Bruyere St 305,Ottawa, ON K1N 5C6",,Ottawa,,,,,2,1,"$446,000",https://www.redfin.com/on/ottawa/100-Bruyere-St-K1N-5C6/unit-305/home/149850812
"160 George St 903,Ottawa, ON K1N 9M2",1987,Lowertown,Reid Property Management,"Air Conditioning, Amenities, Building Insurance, Management Fee,, Reserve Fund Allocation, Water/Sewer","Air Conditioning, Amenities, Building Insurance, Management Fee,, Reserve Fund Allocation, Water/Sewer",$857.64,2,2,"$550,000",https://www.redfin.com/on/ottawa/160-George-St-K1N-9P3/unit-903/home/149852761
"180 York St 910,Ottawa, ON K1N 1J6",2003,Lower Town In The Market,CMG Condominium Management Grp,"Air Conditioning, Building Insurance, General Maintenance and, Repair, Heat, Management Fee, Recreation Facilities, Reserve Fund Allocation,, Water/Sewer",,$401.57,1,1,"$324,000",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-910/home/149853700
"180 York St 407,Ottawa, ON K1N 1J6",2003,Lower Town/byward Market,CMG Condominium Management GRP,"Air Conditioning, Building Insurance, General Maintenance and, Repair, Heat, Insurance, Management Fee, Recreation Facilities, Reserve Fund, Allocation, Water/Sewer",,$484.09,1,1,"$366,800",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-407/home/149853734
"180 York St 306,Ottawa, ON K1N 1J6",2003,Byward Market,CMG,"Air Conditioning, Building Insurance, Heat, Recreation, Facilities, Water/Sewer","Balcony, Elevator, Exercise Centre, Outdoor Kitchen, Party Room",$431.26,1,1,"$326,500",https://www.redfin.com/on/ottawa/180-York-St-K1N-1J6/unit-306/home/149853768
"179 George St 401,Ottawa, ON K1N 1J8",2006,Byward Market,Capital Integral PM,"Amenities, Building Insurance, Heat, Hydro, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Water/Sewer","Balcony, Exercise Centre, Party Room",$704.06,2,1,"$410,000",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-401/home/149857741
"179 George St 301,Ottawa, ON K1N 1J8",2006,Lower Town/byward Market,Capital Integral,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Garbage Removal, General Maintenance and Repair, Heat,, Hydro, Landscape, Management Fee, Recreation Facilities, Reserve Fund, Allocation, Snow Removal, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Party Room, Patio, Storage, Lockers",$640.05,2,1,"$379,900",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-301/home/149857969
"179 George St 710,Ottawa, ON K1N 1J8",2006,Lower Town,Capital Integral,"Air Conditioning, Building Insurance, Garbage Removal, General, Maintenance and Repair, Heat, Hydro, Water/Sewer","Elevator, Exercise Centre, Party Room",$529.65,1,1,"$340,000",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-710/home/149857993
"179 George St 1904,Ottawa, ON K1N 1J8",2006,Lower Town,Capital Integral,"Air Conditioning, Building Insurance, Caretaker, Garbage, Removal, General Maintenance and Repair, Heat, Hydro, Water/Sewer","Elevator, Exercise Centre, Party Room, Storage Lockers",$580.85,1,1,"$350,000",https://www.redfin.com/on/ottawa/179-George-St-K1N-1J8/unit-1904/home/149858250
"238 Besserer St 717,Ottawa, ON K1N 6B1",2012,Sandy Hill,CMG,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer","Balcony, Exercise Centre, Indoor Pool, Party Room, Recreation, Centre, Sauna, Storage Lockers",$570.71,2,2,"$455,000",https://www.redfin.com/on/ottawa/238-Besserer-St-K1N-6B1/unit-717/home/149888951
"101 Queen St 1007,Ottawa, ON K1P 5C7",2019,Center Town,NA,"Building Insurance, Heat, Management Fee, Recreation Facilities,, Water/Sewer","Balcony, Concierge Service, Elevator, Laundry, Multi Use Room,, Party Room, Recreation Centre",$640,2,2,"$936,200",https://www.redfin.com/on/ottawa/101-Queen-St-K1P-6L8/unit-1007/home/160298873
"179 Metcalfe St 1906,Ottawa, ON K2P 0W1",2014,Centretown,CMG,"Building Insurance, Caretaker, Heat, Management Fee, Water/Sewer","Balcony, Concierge Service, Elevator, Exercise Centre, Guest Suite,, Indoor Pool, Party Room",$536.06,1,1,"$541,500",https://www.redfin.com/on/ottawa/179-Metcalfe-St-K2P-0W1/unit-1906/home/160348048
"238 Besserer St 102,Ottawa, ON K1N 6B1",2014,Sandy Hill,Primecorp Property Management,"Amenities, Building Insurance, Heat, Management Fee, Recreation, Facilities, Water/Sewer","Amenities, Building Insurance, Heat, Management Fee, Recreation, Facilities, Water/Sewer",$544,2,1,"$447,000",https://www.redfin.com/on/ottawa/238-Besserer-St-K1N-6B1/unit-102/home/160559245
"224 Lyon St N 1111,Ottawa, ON K1R 0C1",2015,Centretown,CMG- Dorothy Church- EXT 259,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Water/Sewer","Concierge Service, Elevator, Outdoor Kitchen, Party Room, Patio,, Storage Lockers",$549.47,1,1,"$500,899",https://www.redfin.com/on/ottawa/224-Lyon-St-N-K1R-0C1/unit-1111/home/170471738
"234 Rideau St 711,Ottawa, ON K1N 0A9",2011,Sandy Hill,Reid Managemnet,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer","Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer",$398,1,1,"$400,000",https://www.redfin.com/on/ottawa/234-Rideau-St-K1N-0A9/unit-711/home/170472339
"354 Gladstone Ave 801,Ottawa, ON K2P 0R4",2012,Centretown,iCondo Property Management,"Amenities, Building Insurance, Management Fee, Reserve Fund, Allocation, Water/Sewer","Concierge Service, Elevator, Exercise Centre, Party Room",$499.46,2,1,"$470,000",https://www.redfin.com/on/ottawa/354-Gladstone-Ave-K2P-0Y8/unit-801/home/170473388
"224 Lyon St 505,Ottawa, ON K1R 0C1",2015,Centretown,Condominium Management Group,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Water/Sewer","Balcony, Multi Use Room, Outdoor Kitchen",$292.19,1,1,"$331,000",https://www.redfin.com/on/ottawa/224-Lyon-St-N-K1R-0C1/unit-505/home/170473580
